osm_type,osm_id,name
R,71033,"Strasbourg, Bas-Rhin, Collectivité européenne d'Alsace, Grand Est, France métropolitaine, France"
R,71525,"Paris, Île-de-France, France métropolitaine, France"
R,72594,Latvija
R,72596,Lietuva
R,73663,"Simonswald, VVG der Stadt Waldkirch, Landkreis Emmendingen, Baden-Württemberg, 79263, Deutschland"
R,75110,"Dornbirn, Bezirk Dornbirn, Vorarlberg, Österreich"
R,75628,"Rouen, Seine-Maritime, Normandie, France métropolitaine, France"
R,76155,"Oxfordshire, England, United Kingdom"
R,76306,"Tours, Indre-et-Loire, Centre-Val de Loire, France métropolitaine, France"
R,76469,"Marseille, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, France"
R,76516,"Basildon, Essex, England, United Kingdom"
R,78290,"Wattens, Bezirk Innsbruck-Land, Tirol, 6112, Österreich"
R,78752,"Rust, Burgenland, 7071, Österreich"
R,80357,"Terfens, Bezirk Schwaz, Tirol, 6123, Österreich"
R,80500,Australia
R,80501,"Western Cape, South Africa"
R,83319,"Aldrans, Bezirk Innsbruck-Land, Tirol, 6071, Österreich"
R,83913,"Marckolsheim, Sélestat-Erstein, Bas-Rhin, Collectivité européenne d'Alsace, Grand Est, France métropolitaine, 67390, France"
R,85242,"Hecklingen, Salzlandkreis, Sachsen-Anhalt, 39444, Deutschland"
R,86538,"Salzburg, 5020, Österreich"
R,86708,"Linz, Oberösterreich, Österreich"
R,87460,"Buckinghamshire, England, United Kingdom"
R,87565,South Africa
R,87775,"Saint Lawrence County, New York, United States of America"
R,88065,"Cumbria, England, United Kingdom"
R,88071,"Kent, England, United Kingdom"
R,88210,Eswatini
R,88531,"Viersen, Kreis Viersen, Nordrhein-Westfalen, Deutschland"
R,88553,"Bezirk Grieskirchen, Oberösterreich, Österreich"
R,90689,România
R,96388,"Les Molières, Palaiseau, Essonne, Île-de-France, France métropolitaine, 91470, France"
R,96905,"Tamil Nadu, India"
R,103703,"Manila, Capital District, Metro Manila, Philippines"
R,103716,"Makati, Southern Manila District, Metro Manila, Philippines"
R,105146,"Villejuif, L'Haÿ-les-Roses, Val-de-Marne, Île-de-France, France métropolitaine, 94800, France"
R,105270,"Bordeaux, Gironde, Nouvelle-Aquitaine, France métropolitaine, France"
R,106956,"Sheffield, South Yorkshire, England, United Kingdom"
N,107775,"London, Greater London, England, WC2N 5DX, United Kingdom"
R,108089,Ecuador
R,108318,"Saint-Mandé, Nogent-sur-Marne, Val-de-Marne, Île-de-France, France métropolitaine, 94160, France"
R,109166,"Wien, Österreich"
R,110451,"Wiener Neustadt, Niederösterreich, Österreich"
R,110833,"Tempe, Maricopa County, Arizona, United States of America"
R,111257,"Phoenix, Maricopa County, Arizona, United States of America"
R,111735,"Napa, Napa County, California, United States of America"
R,111968,"San Francisco, California, United States of America"
R,112130,"Los Gatos, Santa Clara County, California, United States of America"
R,112143,"San Jose, Santa Clara County, California, United States of America"
R,112145,"Sunnyvale, Santa Clara County, California, United States of America"
R,112298,"Boulder, Boulder County, Colorado, United States of America"
R,112304,"Longmont, Boulder County, Colorado, United States of America"
R,112467,"Purkersdorf, Bezirk St. Pölten, Niederösterreich, Österreich"
R,112533,"Vallejo, Solano County, California, United States of America"
R,113158,"Santa Rosa, Sonoma County, California, United States of America"
R,113314,"Austin, Travis County, Texas, United States of America"
R,114686,México
R,114690,"Texas, United States of America"
R,115354,"Turkey, Hall County, Texas, 79261, United States of America"
R,116883,"Hürtgenwald, Simmerath, Städteregion Aachen, Nordrhein-Westfalen, Deutschland"
R,117178,"Dover, Kent County, Delaware, United States of America"
R,117925,"West Palm Beach, Palm Beach County, Florida, United States of America"
R,118082,"Lancashire, England, United Kingdom"
R,118362,"Leeds, West Yorkshire, England, United Kingdom"
R,118879,"Fort Myers, Lee County, Florida, United States of America"
R,119515,"Rome, Floyd County, Georgia, United States of America"
R,119557,"Atlanta, Fulton County, Georgia, United States of America"
R,119595,"Lawrenceville, Gwinnett County, Georgia, United States of America"
R,119877,"Albany, Dougherty County, Georgia, United States of America"
R,120027,Colombia
R,120965,"Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, France"
R,122586,"Illinois, United States of America"
R,122604,"Chicago, South Chicago Township, Cook County, Illinois, United States of America"
R,127012,"Detroit, Pike County, Illinois, United States of America"
R,127309,"Fort Wayne, Allen County, Indiana, United States of America"
R,127716,"Bloomington, Monroe County, Indiana, United States of America"
R,128428,"Fairfield, Jefferson County, Iowa, United States of America"
R,129473,"Pöchlarn, Bezirk Melk, Niederösterreich, 3380, Österreich"
R,129590,"Overland Park, Johnson County, Kansas, United States of America"
R,130848,"Brandenburg, Meade County, Kentucky, United States of America"
R,132348,"Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86000, France"
R,132799,"Freeport, Cumberland County, Maine, 04032, United States of America"
R,133345,"Baltimore, Maryland, United States of America"
R,133501,"Silver Spring, Montgomery County, Maryland, United States of America"
R,133736,"Laurel, Prince George's County, Maryland, 20707, United States of America"
R,133765,"Owings, Calvert County, Maryland, United States of America"
R,134351,"St. Pölten, Niederösterreich, Österreich"
R,134591,"Detroit, Wayne County, Michigan, United States of America"
R,134824,"Ludington, Mason County, Michigan, United States of America"
R,135130,"Ann Arbor, Washtenaw County, Michigan, United States of America"
R,136578,"Burnsville, Dakota County, Minnesota, United States of America"
R,136687,"Coon Rapids, Anoka County, Minnesota, United States of America"
R,136712,"Minneapolis, Hennepin County, Minnesota, United States of America"
R,139087,"Minden, Kreis Minden-Lübbecke, Nordrhein-Westfalen, Deutschland"
R,142282,"Newcastle upon Tyne, Tyne and Wear, North East, England, United Kingdom"
R,142681,"Detmold, Kreis Lippe, Nordrhein-Westfalen, Deutschland"
R,144696,"Porta Westfalica, Kreis Minden-Lübbecke, Nordrhein-Westfalen, 32457, Deutschland"
R,145269,"Hüllhorst, Kreis Minden-Lübbecke, Nordrhein-Westfalen, 32609, Deutschland"
R,146656,"Manchester, Greater Manchester, England, United Kingdom"
R,146937,"Bolton, Greater Manchester, England, United Kingdom"
R,147447,"Bünde, Kreis Herford, Nordrhein-Westfalen, 32257, Deutschland"
R,148074,"Paderborn, Kreis Paderborn, Nordrhein-Westfalen, Deutschland"
