osm_combination,location_ids
R2793190-boundary:administrative,13567
R3155196-boundary:administrative,13601
R113158-boundary:administrative,12010
R62428-boundary:administrative,"11570,11571,11572,11573,11574,11575,11576,11577,11578,11579,11580,11581"
R3379695-boundary:postal_code,13648
W43317735-highway:residential,14992
R539258-boundary:administrative,12879
W401910579-highway:pedestrian,14986
R62515-boundary:administrative,11634
R1960177-boundary:administrative,13366
R5638986-boundary:administrative,13797
R5402585-boundary:administrative,13785
N25508576-place:city,14039
R18183546-amenity:townhall,"13996,13997,14871,13995"
N353979111-place:island,14537
N3147833520-place:village,14809
R396482-boundary:administrative,12739
N262722292-place:town,"14437,14438"
N26202801-place:town,14050
R114686-boundary:administrative,"12012,12013,12014,12015"
R172987-boundary:administrative,12206
R1132256-boundary:postal_code,"13066,13067,13068"
R62464-boundary:administrative,"11587,11588,11589,11590,11591,11592,11593,11594,11595,11596,11597"
W682712527-amenity:townhall,14631
R155707-boundary:administrative,12109
R62562-boundary:administrative,11681
W710980939-building:commercial,14638
R405809-boundary:administrative,12771
R10103487-boundary:administrative,"13901,13902,13903"
R307828-boundary:administrative,"12637,12638"
R452197-boundary:administrative,12827
R1016514-boundary:administrative,"12965,12966,12967"
R1741311-boundary:administrative,13286
R1080441-boundary:administrative,"12999,13000"
R1128379-boundary:administrative,13058
R148074-boundary:administrative,"12084,12085"
R2221062-boundary:administrative,"13434,13435"
R1170527-boundary:postal_code,13080
R62488-boundary:administrative,11609
R453738-boundary:administrative,12846
R571747-boundary:administrative,"12897,12896"
R7219477-place:island,13836
N1689366777-amenity:community_centre,14737
R224922-boundary:administrative,12467
N245688972-place:city,14383
R9408782-boundary:census,13888
R1111973-boundary:postal_code,13023
R287666-boundary:administrative,"12543,12544"
N1046100133-place:city,"14675,14676"
R1434957-boundary:administrative,13207
R2387637-boundary:administrative,13465
W519320478-highway:platform,14595
R1016525-boundary:administrative,12974
R349390-boundary:administrative,12670
R409764-boundary:administrative,12779
R8123508-highway:pedestrian,"14937,14968"
R59418-boundary:administrative,"11434,11435,11436,11437,11438,11439"
R9721587-boundary:administrative,13895
W1083572360-building:church,14679
R1543125-boundary:administrative,"13234,13235"
R62347-boundary:administrative,11478
R59470-boundary:administrative,"11440,11441,11442,11443,11444"
R1077539-boundary:administrative,12998
R62581-boundary:administrative,"11700,11701,11702,11703,11704"
R3737586-boundary:administrative,13719
W79683431-highway:residential,14958
N264893984-amenity:cinema,14441
R62409-boundary:administrative,"11545,11546"
R3715390-boundary:administrative,13693
R62553-boundary:administrative,"11671,11672"
N34684808-place:city,"14156,14157"
R3328234-boundary:postal_code,"13611,13612,13613,13614,13615"
N16174445-place:city,13981
R913223-boundary:postal_code,12917
W485132006-highway:pedestrian,14570
R5605820-boundary:administrative,13794
R2468628-boundary:administrative,"13484,13485"
R54517-boundary:administrative,"11385,11386,11387"
N258013552-place:city,14415
R9185096-place:city,"13878,13879,13880,13881,13882,13883"
R533502-boundary:administrative,12860
R57750-boundary:administrative,11400
R1690227-boundary:administrative,13277
N7499335147-place:hamlet,14881
W365481421-amenity:community_centre,14541
N2278426212-place:city,14776
R186761-boundary:administrative,12293
R443473-boundary:administrative,12815
R162909-boundary:administrative,12149
N1674026139-place:city,14732
R336478-boundary:administrative,12654
